web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,name
"1620589819-827","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2019","288.70","316.82","281.14","314.66","Netflix, Inc. (NFLX)"
"1620589819-883","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2015","59.64","82.30","58.46","79.50","Netflix, Inc. (NFLX)"
"1620589830-1147","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2017","998.59","1,017.00","927.00","968.00","Amazon.com, Inc. (AMZN)"
"1620589824-1068","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2013","15.78","15.90","13.75","15.81","Apple Inc. (AAPL)"
"1620589824-1084","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2012","19.58","22.19","18.44","21.41","Apple Inc. (AAPL)"
"1620589835-1314","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2014","54.83","63.37","51.85","62.57","Facebook, Inc. (FB)"
"1620589835-1235","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","252.65","304.67","247.43","293.20","Facebook, Inc. (FB)"
"1620589824-1055","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2014","17.95","19.69","17.83","18.79","Apple Inc. (AAPL)"
"1620589835-1315","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2013","46.90","58.58","46.26","54.65","Facebook, Inc. (FB)"
"1620589824-1022","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2016","24.12","24.72","23.15","24.17","Apple Inc. (AAPL)"
"1620589824-1039","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2015","27.85","30.00","26.16","29.29","Apple Inc. (AAPL)"
"1620589830-1130","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2018","1,623.53","1,784.00","1,420.00","1,690.17","Amazon.com, Inc. (AMZN)"
"1620589819-930","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2011","34.03","38.69","32.19","38.69","Netflix, Inc. (NFLX)"
"1620589824-1090","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2011","13.78","15.10","13.09","13.62","Apple Inc. (AAPL)"
"1620589814-763","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2014","568.84","585.73","558.47","570.03","Alphabet Inc. (GOOG)"
"1620589814-734","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2016","757.44","804.38","737.03","771.82","Alphabet Inc. (GOOG)"
"1620589819-851","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2017","197.24","202.48","184.32","187.58","Netflix, Inc. (NFLX)"
"1620589819-885","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2015","62.84","69.50","61.96","67.84","Netflix, Inc. (NFLX)"
"1620589819-850","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2017","186.99","194.49","178.38","191.96","Netflix, Inc. (NFLX)"
